127.0.0.1 - - [02/Nov/2016:13:29:11 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:21 +0800] "GET /LinTest/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:21 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:25 +0800] "GET /LinTest/table/yue HTTP/1.1" 200 16110
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:25 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/bootstrap-datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:25 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/sample%20in%20bootstrap%20v3/jquery/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:25 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:25 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.fr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:25 +0800] "GET /LinTest/static/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:25 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:25 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:26 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:27 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1478064566895 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:55 +0800] "GET /LinTest/table/yearbaobiao HTTP/1.1" 200 15006
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:55 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:29:55 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1478064595699 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:30:46 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=10 HTTP/1.1" 200 15012
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:30:46 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:30:46 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1478064646705 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:31:09 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=09 HTTP/1.1" 200 14983
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:31:09 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:31:09 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1478064669704 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:31:28 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=10 HTTP/1.1" 200 15012
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:31:28 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Nov/2016:13:31:28 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1478064688341 HTTP/1.1" 404 1054
