127.0.0.1 - - [08/May/2017:15:50:49 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/May/2017:15:50:59 +0800] "GET /LinTest/index HTTP/1.1" 200 10998
0:0:0:0:0:0:0:1 - - [08/May/2017:15:50:59 +0800] "GET /LinTest/static/js/docs.min.js HTTP/1.1" 200 43107
0:0:0:0:0:0:0:1 - - [08/May/2017:15:50:59 +0800] "GET /LinTest/static/js/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [08/May/2017:15:50:59 +0800] "GET /LinTest/static/js/ie-emulation-modes-warning.js HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [08/May/2017:15:50:59 +0800] "GET /LinTest/static/css/carousel.css HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [08/May/2017:15:50:59 +0800] "GET /LinTest/static/css/bootstrap.min.css HTTP/1.1" 200 130404
0:0:0:0:0:0:0:1 - - [08/May/2017:15:50:59 +0800] "GET /LinTest/static/js/bootstrap.min.js HTTP/1.1" 200 34665
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:00 +0800] "GET /LinTest/static/img/DVA.jpg HTTP/1.1" 200 64839
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:00 +0800] "GET /LinTest/static/img/%E4%B8%AA%E4%BA%BA%E7%9B%B8%E7%89%87.jpg HTTP/1.1" 200 26043
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:00 +0800] "GET /LinTest/static/img/%E5%85%89%E5%A4%B4.jpg HTTP/1.1" 200 57437
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:00 +0800] "GET /LinTest/static/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:00 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:35 +0800] "GET /LinTest/index HTTP/1.1" 200 10998
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:42 +0800] "GET /LinTest/static/css/blog.css HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:42 +0800] "GET /LinTest/blog HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:42 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:42 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:45 +0800] "GET /LinTest/blog?num=40 HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:45 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:45 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:45 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:45 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:47 +0800] "GET /LinTest/blog/jxwechat HTTP/1.1" 500 7365
0:0:0:0:0:0:0:1 - - [08/May/2017:15:51:58 +0800] "GET /LinTest/index HTTP/1.1" 200 10998
0:0:0:0:0:0:0:1 - - [08/May/2017:15:52:03 +0800] "GET /LinTest/static/css/dashboard.css HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [08/May/2017:15:52:03 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 12231
0:0:0:0:0:0:0:1 - - [08/May/2017:15:52:03 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2016 HTTP/1.1" 200 16972
0:0:0:0:0:0:0:1 - - [08/May/2017:15:52:03 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/May/2017:15:52:03 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/sample%20in%20bootstrap%20v3/jquery/jquery-1.8.3.min.js HTTP/1.1" 200 93636
0:0:0:0:0:0:0:1 - - [08/May/2017:15:52:03 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.fr.js HTTP/1.1" 200 733
