127.0.0.1 - - [19/Nov/2016:15:33:31 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:33:59 +0800] "GET /LinTest/static/css/blog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:33:59 +0800] "GET /LinTest/blog HTTP/1.1" 200 14211
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:33:59 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:33:59 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:34:00 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:34:03 +0800] "GET /LinTest/blog/brain_teasers HTTP/1.1" 200 4690
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:34:03 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:34:03 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:34:03 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:34:27 +0800] "GET /LinTest/index HTTP/1.1" 200 10985
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:34:28 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1479540868587 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:34:31 +0800] "GET /LinTest/table/yearbaobiao HTTP/1.1" 200 16799
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:34:31 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:34:31 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1479540871687 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:41:28 +0800] "GET /LinTest/table/yearbaobiao HTTP/1.1" 200 16799
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:41:28 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:41:28 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:41:28 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1479541288882 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:41:53 +0800] "GET /LinTest/index HTTP/1.1" 200 10985
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:41:54 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1479541314021 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:41:57 +0800] "GET /LinTest/blog HTTP/1.1" 200 14211
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:41:57 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:41:57 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:42:00 +0800] "GET /LinTest/blog/brain_teasers HTTP/1.1" 200 4933
0:0:0:0:0:0:0:1 - - [19/Nov/2016:15:42:00 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
