0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:22 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:22 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:23 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:23 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1491012503092 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:28 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=03 HTTP/1.1" 200 18653
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:28 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:28 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:28 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:28 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1491012508911 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:39 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=02 HTTP/1.1" 200 18612
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:39 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:39 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:40 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:40 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1491012520055 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:45 +0800] "GET /LinTest/table/xfbz HTTP/1.1" 200 11326
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:45 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:45 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:45 +0800] "GET /LinTest/static/css/Highcharts-4.2.6/js/highcharts-3d.js HTTP/1.1" 200 21458
0:0:0:0:0:0:0:1 - - [01/Apr/2017:10:08:45 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1491012525367 HTTP/1.1" 404 1054
