127.0.0.1 - - [12/Dec/2016:16:49:24 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/table/yue HTTP/1.1" 200 17047
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/css/dashboard.css HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/css/bootstrap.min.css HTTP/1.1" 200 130404
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/js/ie-emulation-modes-warning.js HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 12231
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/js/docs.min.js HTTP/1.1" 200 43107
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/js/bootstrap.min.js HTTP/1.1" 200 34665
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/js/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/sample%20in%20bootstrap%20v3/jquery/jquery-1.8.3.min.js HTTP/1.1" 200 93636
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/bootstrap-datetimepicker.js HTTP/1.1" 200 67974
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.fr.js HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:36 +0800] "GET /LinTest/static/css/Highcharts-4.2.6/js/highcharts.js HTTP/1.1" 200 172528
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:37 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:37 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1481532577398 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:37 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:52 +0800] "GET /LinTest/table/blog HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:52 +0800] "GET /LinTest/static/css/amazeui.min.css HTTP/1.1" 200 246791
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:58 +0800] "GET /LinTest/blog HTTP/1.1" 200 13147
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:58 +0800] "GET /LinTest/static/css/blog.css HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:58 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:49:58 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:50:03 +0800] "GET /LinTest/blog/answer_robot HTTP/1.1" 200 4216
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:50:03 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:50:03 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [12/Dec/2016:16:50:03 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
