127.0.0.1 - - [02/Dec/2016:15:58:44 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:00:19 +0800] "GET /LinTest/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:00:20 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:00:26 +0800] "GET /LinTest/table/yue HTTP/1.1" 200 17045
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:00:26 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:00:27 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:00:27 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1480665627783 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:01:51 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=11 HTTP/1.1" 200 15527
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:01:51 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:01:51 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1480665711425 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:02:09 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=08 HTTP/1.1" 200 15516
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:02:09 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:02:09 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1480665729387 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:02:18 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=09 HTTP/1.1" 200 15509
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:02:18 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:02:18 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1480665738352 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:02:37 +0800] "GET /LinTest/table/yearbaobiao HTTP/1.1" 200 17036
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:02:37 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:02:38 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1480665758008 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:07:43 +0800] "GET /LinTest/table/dd?oneday=2016-12-10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:07:43 +0800] "GET /LinTest/table/daybaobiao?oneday=2016-12-10 HTTP/1.1" 200 12179
0:0:0:0:0:0:0:1 - - [02/Dec/2016:16:07:43 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
