0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:48:53 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435733105 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:50:31 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 19039
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:50:31 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:50:31 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:50:31 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:50:31 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435831947 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:52:49 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 19065
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:52:49 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:52:49 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:52:49 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486435969779 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:20 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2016 HTTP/1.1" 200 16950
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:20 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:20 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436000260 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:35 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 18576
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:35 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:36 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:36 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:36 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436016121 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:37 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2016 HTTP/1.1" 200 16950
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:37 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:37 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:38 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436018011 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:39 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 18576
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:39 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:39 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:39 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:53:39 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436019901 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:54:57 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 18582
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:54:57 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:54:57 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:54:57 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436097640 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:54:59 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2016 HTTP/1.1" 200 16956
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:54:59 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:54:59 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:54:59 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436099269 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:00 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2017 HTTP/1.1" 200 16139
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:00 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:00 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:00 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436100535 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:01 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 18582
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:01 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:01 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:01 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:01 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436101865 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:53 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 18598
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:53 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:53 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:53 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436153827 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:55 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 18598
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:55 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:55 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:55 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:55 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436155435 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:58 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2016 HTTP/1.1" 200 17045
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:58 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:58 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:55:58 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436158208 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:18 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2016 HTTP/1.1" 200 16972
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:18 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:18 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436178584 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:20 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 18671
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:20 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:20 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:20 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:20 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436180356 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:24 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2016 HTTP/1.1" 200 16972
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:24 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:24 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:24 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436184782 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:32 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=01 HTTP/1.1" 200 18671
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:32 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:32 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:32 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:32 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436192539 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:44 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2016 HTTP/1.1" 200 16972
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:44 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:44 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:44 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436204162 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:52 +0800] "GET /LinTest/table/yue HTTP/1.1" 200 18008
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:52 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:52 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [07/Feb/2017:10:56:53 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1486436212990 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Feb/2017:11:22:32 +0800] "GET /LinTest/table/insert_day HTTP/1.1" 200 15151
