127.0.0.1 - - [08/Dec/2016:11:22:08 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:28 +0800] "GET /LinTest/index HTTP/1.1" 200 10985
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:29 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1481167349887 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:29 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:34 +0800] "GET /LinTest/blog HTTP/1.1" 200 12940
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:34 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:34 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:44 +0800] "GET /LinTest/blog/answer_robot HTTP/1.1" 200 4216
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:44 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:44 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:48 +0800] "GET /LinTest/blog/answer_robot?info=%E6%89%93%E6%89%93 HTTP/1.1" 200 4201
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:48 +0800] "GET /LinTest/static/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:48 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [08/Dec/2016:11:22:48 +0800] "GET /LinTest/static/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
