127.0.0.1 - - [01/Dec/2016:10:10:44 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:10:52 +0800] "GET /LinTest/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:10:52 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/table/yue HTTP/1.1" 200 17045
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/js/docs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/js/ie-emulation-modes-warning.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/bootstrap-datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/sample%20in%20bootstrap%20v3/jquery/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/css/Highcharts-4.2.6/js/highcharts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.fr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:10 +0800] "GET /LinTest/static/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:11 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:11:11 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1480558271163 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:12:32 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=11 HTTP/1.1" 200 15515
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:12:32 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:12:33 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1480558353061 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:13:19 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=10 HTTP/1.1" 200 15526
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:13:19 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:13:19 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1480558399478 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=10 HTTP/1.1" 200 15538
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/js/ie-emulation-modes-warning.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/js/docs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.fr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/bootstrap-datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/sample%20in%20bootstrap%20v3/jquery/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/css/Highcharts-4.2.6/js/highcharts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /LinTest/static/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:22 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1480558462329 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:36 +0800] "GET /LinTest/table/yearbaobiao HTTP/1.1" 200 17036
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:36 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:14:36 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1480558476811 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:15:52 +0800] "GET /LinTest/table/dd?oneday=2016-11-30 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:15:53 +0800] "GET /LinTest/table/daybaobiao?oneday=2016-11-30 HTTP/1.1" 200 13497
0:0:0:0:0:0:0:1 - - [01/Dec/2016:10:15:53 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
