127.0.0.1 - - [03/Jan/2017:09:12:54 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:13:36 +0800] "GET /LinTest/index HTTP/1.1" 200 10985
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:13:37 +0800] "GET /LinTest/static/css/carousel.css HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:13:37 +0800] "GET /LinTest/static/img/DVA.jpg HTTP/1.1" 200 64839
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:13:37 +0800] "GET /LinTest/static/img/%E4%B8%AA%E4%BA%BA%E7%9B%B8%E7%89%87.jpg HTTP/1.1" 200 26043
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:13:37 +0800] "GET /LinTest/static/img/%E5%85%89%E5%A4%B4.jpg HTTP/1.1" 200 57437
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:13:38 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1483406017740 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:13:38 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:13:42 +0800] "GET /LinTest/table/yearbaobiao HTTP/1.1" 200 17307
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:13:42 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:13:43 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1483406022948 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:14:26 +0800] "GET /LinTest/table/yue HTTP/1.1" 200 17668
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:14:26 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:14:26 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:14:26 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1483406066335 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:15:59 +0800] "GET /LinTest/table/monthbaobiao?oneMonth=12 HTTP/1.1" 200 15562
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:15:59 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:15:59 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [03/Jan/2017:09:15:59 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1483406159272 HTTP/1.1" 404 1054
