0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:50:37 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:11:50:37 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1488426637377 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:36:05 +0800] "GET /LinTest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:36:05 +0800] "GET /LinTest/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:36:09 +0800] "GET /LinTest/index HTTP/1.1" 200 10998
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:36:10 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1488443770282 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:36:16 +0800] "GET /LinTest/table/yearbaobiao?oneYear=2016 HTTP/1.1" 200 16972
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:36:16 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:36:16 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1488443776828 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:36:32 +0800] "GET /LinTest/table/yue HTTP/1.1" 200 18591
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:36:32 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:36:32 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1488443792277 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:37:35 +0800] "GET /LinTest/table/yue HTTP/1.1" 200 18387
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:37:35 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:37:35 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:37:36 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1488443855984 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/table/insert_day HTTP/1.1" 200 15151
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/css/bootstrap.min.css HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/js/jquery.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/css/dashboard.css HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/js/ie-emulation-modes-warning.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/js/bootstrap.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/js/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/plug/bootstrap-datetimepicker-master/sample%20in%20bootstrap%20v3/jquery/jquery-1.8.3.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/plug/bootstrap-datetimepicker-master/js/bootstrap-datetimepicker.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.fr.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/js/jquery.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/js/bootstrap.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/js/assets/js/docs.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/plug/bootstrap-datetimepicker-master/sample%20in%20bootstrap%20v3/jquery/jquery-1.8.3.min.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/plug/bootstrap-datetimepicker-master/js/bootstrap-datetimepicker.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /LinTest/plug/bootstrap-datetimepicker-master/js/locales/bootstrap-datetimepicker.fr.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:11 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1488443951558 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:14 +0800] "GET /LinTest/table/xfbz HTTP/1.1" 200 11353
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:14 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:39:14 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1488443954188 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:41:26 +0800] "GET /LinTest/table/xfbz HTTP/1.1" 200 11325
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:41:26 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:41:26 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:41:26 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1488444086292 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:41:26 +0800] "GET /LinTest/table/xfbz HTTP/1.1" 200 11325
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:41:26 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:41:26 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [02/Mar/2017:16:41:26 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1488444086504 HTTP/1.1" 404 1054
