0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:51 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:51 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474371273 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:52 +0800] "GET /LinTest/yearbaobiao HTTP/1.1" 200 13701
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:52 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:52 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474372887 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:56 +0800] "GET /LinTest/yue HTTP/1.1" 200 14697
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:56 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:56 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474376189 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:57 +0800] "GET /LinTest/yue HTTP/1.1" 200 14697
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:57 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:57 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474377078 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:58 +0800] "GET /LinTest/yue HTTP/1.1" 200 14697
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:58 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:32:58 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474378171 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:34:04 +0800] "GET /LinTest/yearbaobiao HTTP/1.1" 200 13701
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:34:04 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:34:05 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474445073 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:34:31 +0800] "GET /LinTest/yue HTTP/1.1" 200 14697
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:34:31 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:34:31 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474471532 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:34:32 +0800] "GET /LinTest/yearbaobiao HTTP/1.1" 200 13701
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:34:32 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:34:32 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474472626 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:35:55 +0800] "GET /LinTest/yue HTTP/1.1" 200 14701
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:35:55 +0800] "GET /LinTest/static/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Oct/2016:17:35:56 +0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1477474556117 HTTP/1.1" 404 1054
