127.0.0.1 - - [02/Jan/2018:10:09:17 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/login/css/style.css HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/login/js/jquery.placeholder.min.js HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/login/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/login/js/main.js HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/login/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/login/js/jquery.waypoints.min.js HTTP/1.1" 200 8835
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/login/js/modernizr-2.6.2.min.js HTTP/1.1" 200 15413
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/login/js/jquery.min.js HTTP/1.1" 200 84380
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/login/images/geometry2.png HTTP/1.1" 200 2138
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "POST /lsq-spring-boot-mybatis-1.1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/ HTTP/1.1" 200 21377
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/css/styles.css HTTP/1.1" 200 10369
0:0:0:0:0:0:0:1 - - [02/Jan/2018:10:12:52 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/index/css/animate.min.css HTTP/1.1" 200 55844
